Time (s),Channel 1 (V)
-0.004239646875000001,-0.00856306099315951
-0.004238396875,-0.01225220453524223
-0.004237146875,-0.01225220453524223
-0.004235896875000001,-0.00856306099315951
-0.004234646874999999,-0.008563060993162865
-0.004233396875,-0.01225220453524223
-0.004232146875,-0.01225220453524223
-0.004230896875000001,-0.01225220453524223
-0.004229646875,-0.01594134807732583
-0.004228396875,-0.00856306099315951
-0.004227146875000001,-0.01225220453524223
-0.004225896874999999,-0.01594134807732583
-0.004224646875,-0.01594134807732583
-0.004223396875,-0.01225220453524223
-0.004222146875000001,-0.01594134807732248
-0.004220896875,-0.01225220453524223
-0.004219646875,-0.00856306099315951
-0.004218396875000001,-0.01225220453524223
-0.004217146874999999,-0.01225220453524223
-0.004215896875,-0.01225220453524223
-0.004214646875,-0.01594134807732583
-0.004213396875000001,-0.01225220453524558
-0.004212146874999999,-0.00856306099315951
-0.004210896875,-0.00856306099315951
-0.004209646875,-0.01225220453524223
-0.004208396875000001,-0.01225220453524223
-0.004207146875,-0.01225220453524223
-0.004205896875,-0.01225220453524223
-0.004204646875000001,-0.01594134807732583
-0.004203396874999999,-0.01594134807731912
-0.004202146875,-0.00856306099315951
-0.004200896875,-0.01225220453524223
-0.004199646875000001,-0.01225220453524223
-0.004198396875,-0.004873917451076792
-0.004197146875,-0.00856306099315951
-0.004195896875000001,-0.004873917451076792
-0.004194646874999999,-0.01225220453524223
-0.004193396875,-0.01225220453524223
-0.004192146875,-0.01963049161940855
-0.004190896875000001,-0.01963049161940855
-0.004189646875,-0.01225220453523887
-0.004188396875,-0.00856306099315951
-0.004187146875000001,-0.01225220453524223
-0.004185896875000001,-0.01225220453524223
-0.004184646875,-0.01225220453524223
-0.004183396875,-0.01594134807732583
-0.004182146875000001,-0.01225220453524558
-0.004180896874999999,-0.01225220453524223
-0.004179646875,-0.01225220453524223
-0.004178396875,-0.01594134807732583
-0.004177146875000001,-0.01225220453524558
-0.004175896875,-0.01225220453524223
-0.004174646875,-0.01594134807732583
-0.004173396875000001,-0.01594134807732583
-0.004172146874999999,-0.01594134807732248
-0.004170896875,-0.01225220453524223
-0.004169646875,-0.00856306099315951
-0.004168396875000001,-0.00856306099315951
-0.004167146875,-0.01594134807732583
-0.004165896875,-0.01225220453524223
-0.004164646875000001,-0.00856306099315951
-0.004163396874999999,-0.00856306099315951
-0.004162146875,-0.00856306099315951
-0.004160896875,-0.00856306099315951
-0.004159646875000001,-0.00856306099315951
-0.004158396875,-0.008563060993162865
-0.004157146875,-0.01225220453524223
-0.004155896875,-0.01225220453524223
-0.004154646875000001,-0.01594134807732248
-0.004153396875,-0.01225220453524223
-0.004152146875,-0.01225220453524223
-0.004150896875000001,-0.01594134807732583
-0.004149646874999999,-0.01594134807732248
-0.004148396875,-0.01225220453524223
-0.004147146875,-0.00856306099315951
-0.004145896875000001,-0.01225220453523887
-0.004144646875,-0.00856306099315951
-0.004143396875,-0.004873917451076792
-0.004142146875000001,-0.00856306099315951
-0.004140896874999999,-0.004873917451086858
-0.004139646875,-0.01594134807732583
-0.004138396875,-0.01225220453524223
-0.004137146875000001,-0.01225220453524223
-0.004135896875,-0.01225220453524223
-0.004134646875,-0.01225220453524223
-0.004133396875000001,-0.01225220453524223
-0.004132146874999999,-0.008563060993162865
-0.004130896875,-0.01225220453524223
-0.004129646875,-0.01225220453524223
-0.004128396875000001,-0.008563060993162865
-0.004127146874999999,-0.00856306099315951
-0.004125896875,-0.00856306099315951
-0.004124646875,-0.01225220453524223
-0.004123396875000001,-0.01225220453524223
-0.004122146875,-0.01594134807732583
-0.004120896875,-0.01594134807732583
-0.004119646875000001,-0.01225220453524223
-0.004118396874999999,-0.01225220453523887
-0.004117146875,-0.00856306099315951
-0.004115896875,-0.01225220453524223
-0.004114646875000001,-0.01225220453524223
-0.004113396875,-0.01594134807732583
-0.004112146875,-0.00856306099315951
-0.004110896875000001,-0.00856306099315951
-0.004109646874999999,-0.008563060993162865
-0.004108396875,-0.01225220453524223
-0.004107146875,-0.01594134807732583
-0.004105896875000001,-0.00856306099316622
-0.004104646875,-0.008563060993162865
-0.004103396875,-0.01225220453524223
-0.004102146875,-0.01594134807732583
-0.004100896875000001,-0.01225220453524558
-0.004099646875,-0.01225220453524223
-0.004098396875,-0.01594134807732583
-0.004097146875000001,-0.01594134807732583
-0.004095896874999999,-0.01225220453523887
-0.004094646875,-0.00856306099315951
-0.004093396875,-0.01225220453524223
-0.004092146875000001,-0.008563060993162865
-0.004090896875,-0.01225220453524223
-0.004089646875,-0.01594134807732583
-0.004088396875000001,-0.01225220453524223
-0.004087146874999999,-0.01225220453523887
-0.004085896875,-0.00856306099315951
-0.004084646875,-0.01594134807732583
-0.004083396875000001,-0.01594134807732583
-0.004082146875,-0.01594134807732583
-0.004080896875,-0.01594134807732583
-0.004079646875000001,-0.01963049161940855
-0.004078396874999999,-0.01225220453524223
-0.004077146875,-0.01225220453524223
-0.004075896875,-0.01225220453524223
-0.004074646875000001,-0.01225220453524223
-0.004073396875,-0.01225220453523887
-0.004072146875,-0.00856306099315951
-0.004070896875,-0.00856306099315951
-0.004069646875000001,-0.01594134807731912
-0.004068396875,-0.01594134807732583
-0.004067146875,-0.01594134807732583
-0.004065896875000001,-0.01225220453524223
-0.004064646874999999,-0.01225220453524223
-0.004063396875,-0.01225220453524223
-0.004062146875,-0.01225220453524223
-0.004060896875000001,-0.01594134807732248
-0.004059646875,-0.01594134807732583
-0.004058396875,-0.01963049161940855
-0.004057146875000001,-0.01594134807732583
-0.004055896874999999,-0.01594134807732248
-0.004054646875,-0.01225220453524223
-0.004053396875,-0.01225220453524223
-0.004052146875000001,-0.01594134807732248
-0.004050896875,-0.01594134807732248
-0.004049646875,-0.01225220453524223
-0.004048396875000001,-0.01225220453524223
-0.004047146874999999,-0.01225220453524558
-0.004045896875,-0.01594134807732583
-0.004044646875,-0.01594134807732583
-0.004043396875000001,-0.01225220453524558
-0.004042146874999999,-0.008563060993162865
-0.004040896875,-0.01225220453524223
-0.004039646875,-0.00856306099315951
-0.004038396875000001,-0.004873917451080147
-0.004037146875,-0.00856306099315951
-0.004035896875,-0.01594134807732583
-0.004034646875000001,-0.01594134807732583
-0.004033396874999999,-0.01225220453524558
-0.004032146875,-0.01594134807732583
-0.004030896875,-0.01225220453524223
-0.004029646875000001,-0.01594134807732248
-0.004028396875,-0.01594134807732583
-0.004027146875,-0.00856306099315951
-0.004025896875000001,-0.01225220453524223
-0.004024646874999999,-0.01594134807732248
-0.004023396875,-0.01225220453524223
-0.004022146875,-0.01225220453524223
-0.004020896875000001,-0.008563060993162865
-0.004019646875,-0.008563060993162865
-0.004018396875,-0.01225220453524223
-0.004017146875,-0.01594134807732583
-0.004015896875000001,-0.01225220453524558
-0.004014646875,-0.00856306099315951
-0.004013396875,-0.01225220453524223
-0.004012146875000001,-0.01594134807732583
-0.004010896874999999,-0.01225220453524223
-0.004009646875,-0.01225220453524223
-0.004008396875,-0.01225220453524223
-0.004007146875000001,-0.008563060993162865
-0.004005896875,-0.00856306099315951
-0.004004646875,-0.01225220453524223
-0.004003396875000001,-0.01225220453524223
-0.004002146874999999,-0.01225220453524223
-0.004000896875,-0.01225220453524223
-0.003999646875,-0.01225220453524223
-0.003998396875000001,-0.008563060993162865
-0.003997146875,-0.00856306099315951
-0.003995896875,-0.01225220453524223
-0.003994646875000001,-0.01594134807732583
-0.003993396874999999,-0.01963049161940855
-0.003992146875,-0.01963049161940855
-0.003990896875,-0.00856306099315951
-0.003989646875000001,-0.01225220453523887
-0.003988396874999999,-0.01225220453524223
-0.003987146875,-0.01225220453524223
-0.003985896875,-0.01225220453524223
-0.003984646875000001,-0.008563060993162865
-0.003983396875,-0.00856306099315951
-0.003982146875,-0.01594134807732583
-0.003980896875000001,-0.01225220453524223
-0.003979646874999999,-0.01594134807732583
-0.003978396875,-0.01594134807732583
-0.003977146875,-0.01225220453524223
-0.003975896875000001,-0.008563060993162865
-0.003974646875,-0.00856306099315951
-0.003973396875,-0.01594134807732583
-0.003972146875000001,-0.01225220453524223
-0.003970896874999999,-0.01225220453523887
-0.003969646875,-0.00856306099315951
-0.003968396875,-0.01225220453524223
-0.003967146875000001,-0.01594134807732248
-0.003965896875,-0.01594134807732583
-0.003964646875,-0.01594134807732583
-0.003963396875000001,-0.01225220453524223
-0.003962146874999999,-0.01225220453523887
-0.003960896875,-0.00856306099315951
-0.003959646875,-0.01594134807732583
-0.003958396875000001,-0.01594134807732583
-0.003957146874999999,-0.01225220453524223
-0.003955896875,-0.01225220453524223
-0.003954646875,-0.00856306099315951
-0.003953396875000001,-0.00856306099315951
-0.003952146875,-0.01225220453524223
-0.003950896875,-0.01225220453524223
-0.003949646875000001,-0.01225220453524223
-0.003948396874999999,-0.008563060993162865
-0.003947146875,-0.01225220453524223
-0.003945896875,-0.004873917451076792
-0.003944646875000001,-0.008563060993156155
-0.003943396875,-0.00856306099315951
-0.003942146875,-0.00856306099315951
-0.003940896875000001,-0.00856306099315951
-0.003939646874999999,-0.008563060993162865
-0.003938396875,-0.01225220453524223
-0.003937146875,-0.01594134807732583
-0.003935896875000001,-0.01225220453524558
-0.003934646875,-0.01225220453523887
-0.003933396875,-0.00856306099315951
-0.003932146875,-0.01594134807732583
-0.003930896875000001,-0.01225220453524558
-0.003929646875,-0.004873917451076792
-0.003928396875,-0.01225220453524223
-0.003927146875000001,-0.01594134807732583
-0.003925896874999999,-0.00856306099315951
-0.003924646875,-0.00856306099315951
-0.003923396875,-0.001184773908993186
-0.003922146875000001,-0.004873917451073437
-0.003920896875,-0.01225220453524223
-0.003919646875,-0.01225220453524223
-0.003918396875000001,-0.01225220453524223
-0.003917146874999999,-0.01225220453524223
-0.003915896875,-0.01225220453524223
-0.003914646875,-0.00856306099315951
-0.003913396875000001,-0.01225220453523887
-0.003912146875,-0.00856306099315951
-0.003910896875,-0.00856306099315951
-0.003909646875000001,-0.00856306099315951
-0.003908396874999999,-0.01225220453524558
-0.003907146875,-0.01594134807732583
-0.003905896875,-0.01225220453524223
-0.003904646875000001,-0.01225220453524223
-0.003903396874999999,-0.00856306099315951
-0.003902146875,-0.00856306099315951
-0.003900896875,-0.01225220453524223
