Time (s),Channel 1 (V)
-0.00423953056768559,-0.01225220453524223
-0.004238280567685589,-0.01225220453524223
-0.00423703056768559,-0.01225220453524223
-0.00423578056768559,-0.01594134807732583
-0.004234530567685589,-0.01225220453524223
-0.004233280567685589,-0.01225220453524223
-0.00423203056768559,-0.004873917451076792
-0.00423078056768559,-0.004873917451076792
-0.004229530567685589,-0.01225220453524223
-0.00422828056768559,-0.01225220453524223
-0.00422703056768559,-0.01225220453524223
-0.004225780567685589,-0.01225220453524558
-0.004224530567685589,-0.01594134807732583
-0.00422328056768559,-0.01594134807732583
-0.00422203056768559,-0.01225220453524558
-0.004220780567685589,-0.004873917451076792
-0.004219530567685589,-0.00856306099315951
-0.00421828056768559,-0.01225220453524223
-0.004217030567685589,-0.01225220453523887
-0.004215780567685589,-0.00856306099315951
-0.00421453056768559,-0.01225220453524223
-0.00421328056768559,-0.008563060993162865
-0.004212030567685589,-0.01225220453524223
-0.004210780567685589,-0.01225220453524223
-0.00420953056768559,-0.01594134807732583
-0.00420828056768559,-0.01594134807732583
-0.004207030567685589,-0.01594134807732583
-0.00420578056768559,-0.01225220453524223
-0.00420453056768559,-0.01225220453524223
-0.004203280567685589,-0.01225220453524558
-0.004202030567685589,-0.01594134807732583
-0.00420078056768559,-0.01594134807732583
-0.00419953056768559,-0.01225220453524558
-0.004198280567685589,-0.01225220453524223
-0.00419703056768559,-0.01594134807732583
-0.00419578056768559,-0.01225220453524223
-0.004194530567685589,-0.01594134807732248
-0.004193280567685589,-0.01225220453524223
-0.00419203056768559,-0.01225220453524223
-0.00419078056768559,-0.01594134807732248
-0.004189530567685589,-0.01225220453524223
-0.004188280567685589,-0.01225220453524223
-0.00418703056768559,-0.00856306099315951
-0.00418578056768559,-0.01225220453523887
-0.004184530567685589,-0.00856306099315951
-0.00418328056768559,-0.00856306099315951
-0.00418203056768559,-0.00856306099315951
-0.004180780567685589,-0.008563060993156155
-0.004179530567685589,-0.004873917451076792
-0.00417828056768559,-0.00856306099315951
-0.00417703056768559,-0.01225220453523887
-0.004175780567685589,-0.00856306099315951
-0.00417453056768559,-0.00856306099315951
-0.00417328056768559,-0.01225220453524223
-0.004172030567685589,-0.01225220453524223
-0.004170780567685589,-0.01225220453524223
-0.00416953056768559,-0.01225220453524223
-0.00416828056768559,-0.01225220453524223
-0.004167030567685589,-0.01594134807732583
-0.00416578056768559,-0.01963049161940855
-0.00416453056768559,-0.01225220453524223
-0.004163280567685589,-0.01225220453523887
-0.004162030567685589,-0.00856306099315951
-0.00416078056768559,-0.00856306099315951
-0.00415953056768559,-0.01225220453523887
-0.004158280567685589,-0.01225220453523887
-0.004157030567685589,-0.00856306099315951
-0.00415578056768559,-0.01225220453524223
-0.00415453056768559,-0.008563060993162865
-0.004153280567685589,-0.004873917451076792
-0.00415203056768559,-0.004873917451076792
-0.00415078056768559,-0.01225220453524223
-0.004149530567685589,-0.01225220453524223
-0.004148280567685589,-0.01225220453524223
-0.00414703056768559,-0.01225220453524223
-0.00414578056768559,-0.01225220453524223
-0.004144530567685589,-0.01594134807732583
-0.00414328056768559,-0.01225220453524223
-0.00414203056768559,-0.01594134807732583
-0.004140780567685589,-0.01594134807732248
-0.004139530567685589,-0.01225220453524223
-0.00413828056768559,-0.01225220453524223
-0.00413703056768559,-0.01225220453524223
-0.004135780567685589,-0.00856306099315951
