Time (s),Channel 1 (V)
-0.004238970490716181,-0.01225220453524223
-0.00423772049071618,-0.01225220453524223
-0.00423647049071618,-0.01225220453524223
-0.004235220490716181,-0.01225220453524223
-0.00423397049071618,-0.008563060993156155
-0.00423272049071618,-0.004873917451076792
-0.004231470490716181,-0.004873917451076792
-0.004230220490716181,-0.01225220453523552
-0.00422897049071618,-0.01225220453524223
-0.00422772049071618,-0.01225220453524223
-0.004226470490716181,-0.01225220453524223
-0.00422522049071618,-0.008563060993162865
-0.00422397049071618,-0.01225220453524223
-0.00422272049071618,-0.00856306099315951
-0.004221470490716181,-0.01225220453523887
-0.00422022049071618,-0.01225220453524223
-0.00421897049071618,-0.00856306099315951
-0.004217720490716181,-0.004873917451076792
-0.004216470490716179,-0.008563060993162865
-0.00421522049071618,-0.01225220453524223
-0.00421397049071618,-0.00856306099315951
-0.004212720490716181,-0.01225220453523887
-0.00421147049071618,-0.00856306099315951
-0.00421022049071618,-0.00856306099315951
-0.004208970490716181,-0.00856306099315951
-0.004207720490716181,-0.00856306099315951
-0.00420647049071618,-0.01225220453524223
-0.00420522049071618,-0.01225220453524223
-0.004203970490716181,-0.00856306099315951
-0.00420272049071618,-0.01225220453524223
-0.00420147049071618,-0.01225220453524223
-0.004200220490716181,-0.01594134807732583
-0.004198970490716181,-0.01225220453524558
-0.00419772049071618,-0.01594134807732583
-0.00419647049071618,-0.01594134807732583
-0.004195220490716181,-0.01594134807732583
-0.004193970490716179,-0.01225220453524223
-0.00419272049071618,-0.01225220453524223
-0.00419147049071618,-0.00856306099315951
-0.004190220490716181,-0.01225220453523887
-0.00418897049071618,-0.008563060993162865
-0.00418772049071618,-0.01225220453524223
-0.004186470490716181,-0.01594134807732583
-0.004185220490716181,-0.01594134807732583
-0.00418397049071618,-0.01594134807732583
-0.00418272049071618,-0.01225220453524223
-0.004181470490716181,-0.008563060993162865
-0.00418022049071618,-0.008563060993162865
-0.00417897049071618,-0.01225220453524223
-0.004177720490716181,-0.01594134807732583
-0.004176470490716181,-0.004873917451086859
-0.00417522049071618,-0.00856306099315951
-0.00417397049071618,-0.00856306099315951
-0.004172720490716181,-0.00856306099315951
-0.00417147049071618,-0.00856306099315951
-0.00417022049071618,-0.00856306099315951
-0.004168970490716181,-0.01225220453524223
-0.004167720490716181,-0.01594134807732248
-0.00416647049071618,-0.01225220453524223
-0.00416522049071618,-0.00856306099315951
-0.004163970490716181,-0.00856306099315951
-0.004162720490716179,-0.01225220453524223
-0.00416147049071618,-0.01225220453524223
-0.00416022049071618,-0.004873917451076792
-0.004158970490716181,-0.008563060993156155
-0.00415772049071618,-0.01594134807732248
-0.00415647049071618,-0.01225220453524223
-0.004155220490716181,-0.00856306099315951
-0.004153970490716181,-0.00856306099315951
-0.00415272049071618,-0.01225220453524223
-0.00415147049071618,-0.01225220453524223
-0.004150220490716181,-0.00856306099315951
-0.00414897049071618,-0.00856306099315951
-0.00414772049071618,-0.00856306099315951
-0.004146470490716181,-0.00856306099315951
-0.004145220490716181,-0.004873917451080147
-0.00414397049071618,-0.01225220453524223
-0.00414272049071618,-0.01594134807732583
-0.004141470490716181,-0.01225220453524223
-0.00414022049071618,-0.00856306099315951
-0.00413897049071618,-0.00856306099315951
-0.00413772049071618,-0.00856306099315951
-0.004136470490716181,-0.00856306099315951
-0.00413522049071618,-0.01225220453523887
-0.00413397049071618,-0.00856306099315951
-0.004132720490716181,-0.01225220453524223
-0.004131470490716179,-0.00856306099315951
-0.00413022049071618,-0.00856306099315951
-0.00412897049071618,-0.01594134807732583
-0.004127720490716181,-0.00856306099316622
-0.00412647049071618,-0.008563060993162865
-0.00412522049071618,-0.01225220453524223
-0.004123970490716181,-0.01594134807732583
-0.004122720490716181,-0.00856306099316622
-0.00412147049071618,-0.00856306099315951
-0.00412022049071618,-0.01225220453524223
-0.004118970490716181,-0.01225220453524223
-0.00411772049071618,-0.01594134807732248
-0.00411647049071618,-0.01225220453524223
-0.004115220490716181,-0.01225220453524223
-0.004113970490716181,-0.01225220453524223
-0.00411272049071618,-0.00856306099315951
-0.00411147049071618,-0.00856306099315951
-0.004110220490716181,-0.01225220453524223
-0.004108970490716179,-0.01225220453523552
-0.00410772049071618,-0.004873917451076792
-0.00410647049071618,-0.01225220453524223
-0.004105220490716181,-0.01225220453524223
-0.00410397049071618,-0.01594134807732248
-0.00410272049071618,-0.01225220453524223
-0.004101470490716181,-0.00856306099315951
-0.004100220490716181,-0.00856306099315951
-0.00409897049071618,-0.01225220453524223
-0.00409772049071618,-0.01225220453524223
-0.004096470490716181,-0.01225220453524223
-0.00409522049071618,-0.01225220453524894
-0.00409397049071618,-0.01963049161940855
-0.004092720490716181,-0.01594134807732583
-0.004091470490716181,-0.01225220453524558
-0.00409022049071618,-0.01225220453524223
-0.00408897049071618,-0.01225220453524223
-0.004087720490716181,-0.004873917451076792
-0.00408647049071618,-0.00856306099316622
-0.00408522049071618,-0.01594134807732583
-0.00408397049071618,-0.01594134807732583
-0.004082720490716181,-0.01225220453524558
-0.00408147049071618,-0.00856306099315951
-0.00408022049071618,-0.01225220453524223
-0.004078970490716181,-0.01225220453524223
-0.004077720490716179,-0.0085630609931528
-0.00407647049071618,-0.001184773908993186
-0.00407522049071618,-0.01225220453524223
-0.004073970490716181,-0.01594134807732248
-0.00407272049071618,-0.01225220453524223
-0.00407147049071618,-0.01225220453524223
-0.004070220490716181,-0.01225220453524223
-0.004068970490716181,-0.01225220453524223
-0.00406772049071618,-0.00856306099315951
-0.00406647049071618,-0.00856306099315951
-0.004065220490716181,-0.01225220453524223
-0.00406397049071618,-0.01594134807732248
-0.00406272049071618,-0.01225220453524223
-0.004061470490716181,-0.01225220453524223
-0.004060220490716181,-0.01225220453524223
-0.00405897049071618,-0.01225220453524223
-0.00405772049071618,-0.01594134807732583
-0.004056470490716181,-0.01225220453524223
-0.00405522049071618,-0.008563060993162865
-0.00405397049071618,-0.01225220453524223
-0.00405272049071618,-0.00856306099315951
-0.004051470490716181,-0.004873917451080147
-0.00405022049071618,-0.00856306099315951
-0.00404897049071618,-0.00856306099315951
-0.004047720490716181,-0.01225220453524223
-0.004046470490716179,-0.01594134807732583
-0.00404522049071618,-0.01594134807732583
-0.00404397049071618,-0.01225220453524223
-0.004042720490716181,-0.01225220453524223
-0.00404147049071618,-0.00856306099316622
-0.00404022049071618,-0.01594134807732583
-0.004038970490716181,-0.00856306099315951
-0.004037720490716181,-0.00856306099315951
-0.00403647049071618,-0.00856306099315951
-0.00403522049071618,-0.00856306099315951
-0.004033970490716181,-0.01225220453524223
-0.00403272049071618,-0.01225220453524223
-0.00403147049071618,-0.01225220453524223
-0.004030220490716181,-0.01225220453524223
-0.004028970490716181,-0.008563060993162865
-0.00402772049071618,-0.001184773908993186
-0.00402647049071618,-0.01225220453524223
-0.004025220490716181,-0.01594134807732583
-0.004023970490716179,-0.01225220453523887
-0.00402272049071618,-0.00856306099315951
-0.00402147049071618,-0.01594134807732583
-0.004020220490716181,-0.01594134807732583
-0.00401897049071618,-0.01963049161940184
-0.00401772049071618,-0.01225220453524223
-0.004016470490716181,-0.01594134807732583
-0.004015220490716181,-0.01225220453524558
-0.00401397049071618,-0.01225220453524223
-0.00401272049071618,-0.00856306099315951
-0.004011470490716181,-0.01225220453524223
-0.00401022049071618,-0.01225220453524558
-0.00400897049071618,-0.01594134807732583
-0.004007720490716181,-0.00856306099315951
-0.004006470490716181,-0.01225220453523887
-0.00400522049071618,-0.01594134807732583
-0.00400397049071618,-0.01225220453524223
-0.004002720490716181,-0.01594134807732583
-0.00400147049071618,-0.00856306099315951
-0.00400022049071618,-0.00856306099315951
-0.00399897049071618,-0.01225220453524223
-0.003997720490716181,-0.01225220453524223
-0.00399647049071618,-0.00856306099315951
-0.00399522049071618,-0.01225220453524223
-0.003993970490716181,-0.01225220453524223
-0.003992720490716179,-0.02331963516147785
-0.00399147049071618,-0.00856306099315951
-0.00399022049071618,-0.00856306099315951
-0.003988970490716181,-0.01225220453523887
-0.00398772049071618,-0.00856306099316622
-0.00398647049071618,-0.01594134807732583
-0.003985220490716181,-0.01594134807732583
-0.003983970490716181,-0.01225220453524558
-0.00398272049071618,-0.01594134807732583
-0.00398147049071618,-0.01225220453524223
-0.003980220490716181,-0.00856306099315951
-0.00397897049071618,-0.00856306099315951
-0.00397772049071618,-0.00856306099315951
-0.003976470490716181,-0.00856306099315951
-0.003975220490716181,-0.00856306099315951
-0.00397397049071618,-0.00856306099315951
-0.00397272049071618,-0.01225220453524223
-0.003971470490716181,-0.00856306099315951
-0.003970220490716179,-0.01225220453524223
-0.00396897049071618,-0.01225220453524223
-0.00396772049071618,-0.01225220453524223
-0.003966470490716181,-0.01225220453524223
-0.00396522049071618,-0.01594134807732583
-0.00396397049071618,-0.01594134807732583
-0.003962720490716181,-0.01225220453524223
-0.003961470490716179,-0.01225220453524223
-0.00396022049071618,-0.01225220453524223
-0.00395897049071618,-0.00856306099315951
-0.003957720490716181,-0.00856306099315951
-0.00395647049071618,-0.01225220453523887
-0.00395522049071618,-0.00856306099315951
-0.003953970490716181,-0.00856306099315951
-0.003952720490716181,-0.00856306099315951
-0.00395147049071618,-0.004873917451076792
-0.00395022049071618,-0.001184773908993186
-0.003948970490716181,-0.001184773908993186
-0.00394772049071618,-0.00856306099315951
-0.00394647049071618,-0.00856306099315951
-0.003945220490716181,-0.00856306099315951
-0.003943970490716181,-0.00856306099315951
-0.00394272049071618,-0.01225220453524223
-0.00394147049071618,-0.01594134807732583
-0.003940220490716181,-0.01225220453524223
-0.003938970490716179,-0.01594134807732248
-0.00393772049071618,-0.01225220453524223
-0.00393647049071618,-0.01225220453524223
-0.003935220490716181,-0.01225220453524223
-0.00393397049071618,-0.01225220453523887
-0.00393272049071618,-0.00856306099315951
-0.003931470490716181,-0.01225220453524223
-0.003930220490716181,-0.01225220453524223
-0.00392897049071618,-0.01225220453524223
-0.00392772049071618,-0.01225220453524223
-0.003926470490716181,-0.01225220453524223
-0.00392522049071618,-0.01225220453523887
-0.00392397049071618,-0.00856306099315951
-0.003922720490716181,-0.01225220453524223
-0.003921470490716181,-0.01225220453524223
-0.00392022049071618,-0.01225220453524223
-0.00391897049071618,-0.01225220453524223
-0.003917720490716181,-0.01225220453524223
-0.00391647049071618,-0.00856306099315951
-0.00391522049071618,-0.00856306099315951
-0.00391397049071618,-0.01225220453524223
-0.003912720490716181,-0.01225220453524223
-0.00391147049071618,-0.004873917451076792
-0.00391022049071618,-0.00856306099315951
-0.003908970490716181,-0.00856306099315951
-0.003907720490716179,-0.01225220453524223
-0.00390647049071618,-0.01225220453524223
-0.00390522049071618,-0.01594134807732583
-0.003903970490716181,-0.01225220453524558
-0.00390272049071618,-0.008563060993162865
-0.00390147049071618,-0.01225220453524223
-0.003900220490716181,-0.00856306099315951
-0.003898970490716181,-0.004873917451080147
-0.00389772049071618,-0.01225220453524223
-0.00389647049071618,-0.01225220453524223
-0.003895220490716181,-0.00856306099315951
-0.00389397049071618,-0.008563060993162865
-0.00389272049071618,-0.01225220453524223
-0.003891470490716181,-0.01225220453524223
-0.003890220490716181,-0.01594134807732248
-0.00388897049071618,-0.01225220453524223
-0.00388772049071618,-0.00856306099315951
-0.003886470490716181,-0.01594134807732583
-0.003885220490716179,-0.01225220453523552
-0.00388397049071618,-0.004873917451076792
-0.00388272049071618,-0.01225220453524223
-0.003881470490716181,-0.01225220453524223
-0.00388022049071618,-0.008563060993162865
-0.00387897049071618,-0.01225220453524223
-0.003877720490716181,-0.00856306099315951
-0.003876470490716181,-0.004873917451080147
-0.00387522049071618,-0.01225220453524223
-0.00387397049071618,-0.01225220453524223
-0.003872720490716181,-0.01225220453524223
-0.00387147049071618,-0.01225220453524223
-0.00387022049071618,-0.01225220453524223
-0.003868970490716181,-0.01225220453524223
-0.003867720490716181,-0.008563060993162865
-0.00386647049071618,-0.00856306099315951
-0.00386522049071618,-0.01594134807732583
-0.003863970490716181,-0.01225220453524223
-0.00386272049071618,-0.01225220453523887
-0.00386147049071618,-0.00856306099315951
-0.003860220490716181,-0.00856306099315951
-0.003858970490716181,-0.01225220453523887
-0.00385772049071618,-0.00856306099315951
-0.00385647049071618,-0.01225220453524223
-0.003855220490716181,-0.01225220453524223
-0.003853970490716179,-0.00856306099315951
-0.00385272049071618,-0.00856306099315951
-0.00385147049071618,-0.01225220453524223
-0.003850220490716181,-0.008563060993162865
-0.00384897049071618,-0.008563060993156155
-0.00384772049071618,-0.004873917451076792
-0.003846470490716181,-0.00856306099315951
-0.003845220490716181,-0.01594134807731912
-0.00384397049071618,-0.01225220453524223
-0.00384272049071618,-0.00856306099315951
-0.003841470490716181,-0.01225220453524223
-0.00384022049071618,-0.01225220453523887
-0.00383897049071618,-0.00856306099315951
-0.003837720490716181,-0.01225220453524223
-0.003836470490716181,-0.01225220453524223
-0.00383522049071618,-0.00856306099315951
-0.00383397049071618,-0.01225220453524223
-0.003832720490716181,-0.01225220453524223
-0.00383147049071618,-0.00856306099316622
-0.00383022049071618,-0.01594134807732583
-0.00382897049071618,-0.01225220453524223
-0.003827720490716181,-0.01594134807732248
-0.00382647049071618,-0.01225220453523887
-0.00382522049071618,-0.00856306099315951
-0.003823970490716181,-0.00856306099315951
-0.003822720490716179,-0.01225220453524223
-0.00382147049071618,-0.01225220453524223
-0.00382022049071618,-0.00856306099315951
-0.003818970490716181,-0.00856306099315951
